Code,Name,Registration Area Code,Registration Area Name,Registration Centre,Registration Centre Code,Polling Station Code,Polling Station Name,Registered Voters
291,Diaspora,05000,Tanzania,1,Kenya Embassy in Dar- es-Salaam,048291500000101,Kenya Embassy in Dar- es-Salaam,496
291,Diaspora,05000,Tanzania,1,Kenya Embassy in Dar- es-Salaam,048291500000102,Kenya Embassy in Dar- es-Salaam,496
291,Diaspora,05000,Tanzania,2,Kenya Consulate in Arusha,048291500000201,Kenya Consulate in Arusha,410
291,Diaspora,05001,Uganda,3,Kenya High Commission in Kampala,048291500100301,Kenya High Commission in Kampala,471
291,Diaspora,05001,Uganda,3,Kenya High Commission in Kampala,048291500100302,Kenya High Commission in Kampala,470
291,Diaspora,05001,Uganda,3,Kenya High Commission in Kampala,048291500100303,Kenya High Commission in Kampala,470
291,Diaspora,05002,Rwanda,4,Kenya Embassy in Kigali,048291500200401,Kenya Embassy in Kigali,545
291,Diaspora,05002,Rwanda,4,Kenya Embassy in Kigali,048291500200402,Kenya Embassy in Kigali,545
291,Diaspora,05003,Burundi,5,Kenya Embassy in Bujumbura,048291500300501,Kenya Embassy in Bujumbura,201
291,Diaspora,05004,South Africa,6,Kenya Embassy in Pretoria,048291500400601,Kenya Embassy in Pretoria,479
291,Diaspora,05004,South Africa,6,Kenya Embassy in Pretoria,048291500400602,Kenya Embassy in Pretoria,479
291,Diaspora,05005,South Sudan,7,Kenya Embassy in Juba,048291500500701,Kenya Embassy in Juba,489
291,Diaspora,05005,South Sudan,7,Kenya Embassy in Juba,048291500500702,Kenya Embassy in Juba,488
291,Diaspora,05006,Germany,8,Kenya Embassy in Berlin,048291500600801,Kenya Embassy in Berlin,314
291,Diaspora,05007,United Kingdom,9,Kenya High Commission in London,048291500700901,Kenya High Commission in London,399
291,Diaspora,05007,United Kingdom,9,Kenya High Commission in London,048291500700902,Kenya High Commission in London,399
291,Diaspora,05008,Qatar,10,Kenya Embassy in Doha,048291500801001,Kenya Embassy in Doha,479
291,Diaspora,05008,Qatar,10,Kenya Embassy in Doha,048291500801002,Kenya Embassy in Doha,479
291,Diaspora,05008,Qatar,10,Kenya Embassy in Doha,048291500801003,Kenya Embassy in Doha,479
291,Diaspora,05009,United Arab Emirates,11,Kenya Embassy in Abu Dhabi,048291500901101,Kenya Embassy in Abu Dhabi,103
291,Diaspora,05009,United Arab Emirates,12,Kenya Consulate in Dubai,048291500901201,Kenya Consulate in Dubai,642
291,Diaspora,05010,Canada,13,Kenya High Commission in Ottawa,048291501001301,Kenya High Commission in Ottawa,112
291,Diaspora,05010,Canada,14,Kenya Honorary Consulate in Toronto,048291501001401,Kenya Honorary Consulate in Toronto,167
291,Diaspora,05010,Canada,15,Kenya Honorary Consulate in Vancouver,048291501001501,Kenya Honorary Consulate in Vancouver,87
291,Diaspora,05011,United States of America,16,Kenya Embassy in Washington DC,048291501101601,Kenya Embassy in Washington Dc,314
291,Diaspora,05011,United States of America,17,Kenya Consulate in New York,048291501101701,Kenya Consulate in New York,298
291,Diaspora,05011,United States of America,18,Kenya Consulate in Los Angeles,048291501101801,Kenya Consulate in Los Angeles,132
