County Code,County Name,Registered Voters
1,Mombasa,641913
2,Kwale,328253
3,Kilifi,588602
4,Tana River,141096
5,Lamu,81453
6,Taita Taveta,181827
7,Garissa,201473
8,Wajir,207758
9,Mandera,217030
10,Marsabit,166912
11,Isiolo,89504
12,Meru,772139
13,Tharaka - Nithi,231932
14,Embu,334302
15,Kitui,532758
16,Machakos,687565
17,Makueni,479401
18,Nyandarua,361165
19,Nyeri,481632
20,Kirinyaga,376001
21,Murang'a,620929
22,Kiambu,1275008
23,Turkana,238528
24,West Pokot,220026
25,Samburu,100014
26,Trans Nzoia,398981
27,Uasin Gishu,506138
28,Elgeyo/Marakwet,213884
29,Nandi,406288
30,Baringo,281053
31,Laikipia,263012
32,Nakuru,1054856
33,Narok,398784
34,Kajiado,463273
35,Kericho,428067
36,Bomet,376985
37,Kakamega,844551
38,Vihiga,310043
39,Bungoma,646598
40,Busia,416756
41,Siaya,533595
42,Kisumu,606754
43,Homa Bay,551071
44,Migori,469019
45,Kisii,637010
46,Nyamira,323283
47,Nairobi City,2415310
